instagram_id,max_posts,follower,numMonth,numWeek,numMonthTag,numWeekTag,recent_post_date
mahounekozakka,5,7,4,1,0,0,20180901
akiaki_h,12,420,1,0,0,0,20180819
maimaisurf,12,994,3,0,0,0,20180825
makana.a24,12,79,0,0,0,0,20180730
ManamiMatsuyama,12,150,8,1,0,0,20180903
atelier_mamina,12,254,8,4,0,0,20180905
manakope01,12,254,8,1,0,0,20180902
mana_ohana,12,4162,2,0,0,0,20180829
ma_natula,12,306,12,6,8,6,20180906
greenfield.od,12,57,12,3,1,1,20180906
mggm.3415,12,827,12,12,0,0,20180906
LanikaiJewelryCo,12,78,3,0,0,0,20180813
mapoche.official,12,189,12,12,12,12,20180907
rxx1229,12,174,4,1,1,1,20180903
marmalade__home,12,242,6,2,4,2,20180904
takahiro_marubayashi,12,5797,12,2,0,0,20180905
marufuku.shouten,12,686,0,0,0,0,20180726
marunikagu,12,449,6,2,6,2,20180907
masaejewelry,12,617,10,3,0,0,20180906
matilda.rie,12,284,8,2,2,2,20180906
makibue4run,12,45,1,0,0,0,20180812
mato_ya,12,294,12,4,0,0,20180906
_mavi_marti,12,305,12,0,0,0,20180829
maydays_tea,12,546,1,1,0,0,20180905
mayjay_miki,12,186,2,0,0,0,20180809
mitsuboshi_socks,12,51,6,2,0,0,20180903
megane.shorin,12,337,3,0,0,0,20180826
meg_merry0523,12,391,0,0,0,0,20180404
MEI_KOGA,12,430,12,7,0,0,20180905
memoshop168,12,43,6,2,0,0,20180905
menchop_2016,12,907,0,0,0,0,20180625
merci_merci042626,12,39,3,0,3,0,20180829
chocolateholic.r,12,548,7,2,0,0,20180904
yuko_merci.deco,12,316,11,1,0,0,20180902
bulldog_skateshop,12,466,9,2,0,0,20180902
michie_hoshina,12,730,12,5,1,0,20180906
miemie31mio,12,135,2,1,0,0,20180906
mighty.2017,12,123,0,0,0,0,20180702
mignonange.shop,12,61,9,2,1,1,20180904
mikata.uranai,12,1459,7,3,0,0,20180904
mikirileather,12,1581,12,1,0,0,20180906
milidecode,12,279,1,0,0,0,20180831
milista.jp,12,239,6,1,1,0,20180904
__mili_closet_,12,125,12,7,0,0,20180906
miki_milkymart,12,796,11,11,0,0,19700101
milkyjiji,12,82,7,4,3,1,20180906
milleamulette,12,308,3,1,1,1,20180907
milo_antiques,12,439,12,6,0,0,20180905
milu.coniconi,12,24,0,0,0,0,20180805
koujiya1903,12,1684,12,7,1,0,20180907
mimi.and.merrybon,12,132,7,3,0,0,20180906
mimikakiys,2,41,2,0,0,0,20180807
mine15shop,12,387,12,5,2,0,20180904
minkanbousai,12,77,6,6,2,2,20180902
ccr.minru,12,476,6,2,0,0,20180905
miraflora.info,12,51,1,0,0,0,20180813
mirror_geoul,12,63,3,2,2,2,20180906
misa.handmade,12,67,4,4,0,0,20180906
miss_locket,12,1650,6,1,0,0,20180902
mizuhikigirl,12,861,6,1,0,0,20180906
milimili_by_umpopo,12,842,9,2,5,2,20180906
life_beach_official,12,178,10,2,4,2,20180906
mmm_made_m.tsujioka,12,361,12,2,0,0,20180905
kushi_mmsk,12,105,6,3,2,1,20180906
moanihawaii,12,841,12,5,0,0,20180904
lily_neige,12,1122,0,0,0,0,20180710
mochachipato,12,367,12,12,0,0,20180907
modaladian_shoesshop,12,41,1,1,1,1,20180904
moderlist2018,12,74,10,1,0,0,20180901
module_design,12,200,10,2,3,1,20180906
moierg,12,3086,12,7,0,0,20180907
momoann2004,12,266,12,11,0,0,20180907
speach0123,12,1241,12,3,2,1,20180903
monowrap,12,259,1,0,0,0,20180830
_monsroe_,12,99,6,3,5,3,20180904
mooiimooii,12,111,9,0,2,0,20180829
lisa_morrienouk,12,171,8,2,0,0,20180904
morals.morals.2017,12,155,12,12,0,0,20180907
morcego_gallery,12,424,5,1,0,0,20180903
morewant_fashion,12,1,0,0,0,0,20180423
moritautsuwa,12,1102,9,2,0,0,20180904
moritocoffee,12,280,4,2,0,0,20180905
motherjuice.jp,12,44,0,0,0,0,20171121
motoyama_coffee,12,59,0,0,0,0,19700101
moypup,12,1031,7,3,0,0,19700101
andmoze38,12,1479,6,0,0,0,20180821
